BatchId;PDatTime;ProcessTime;AG2100;AG2100;AG2100;AG2100;DPRESS;DPRESS;DPRESS;DPRESS;F_PERM;P2500;P2500;P2500;P2500;P3000;P3000;P3000;P3000;P3000_T;PIR2600;PIR2700;PIRC2500;PIRC2500;PIRC2500;PIRC2500;QIR2000;QIR2100;TIR2100;TMP;WIR2700;WIRC2100;WIRC2100;WIRC2100;WIRC2100
;;Value;Value;Setpoint;Mode;Output;Value;Output;Mode;Setpoint;Value;Setpoint;Value;Output;Mode;Setpoint;Mode;Output;Value;Value;Value;Value;Output;Value;Setpoint;Mode;Value;Value;Value;Value;Value;Value;Output;Setpoint;Mode
;;hours;rpm;rpm;;%;bar;%;;bar;g/min;%;%;%;;%;;%;%;g;bar;bar;%;bar;bar;;x;ms/cm;°C;bar;g;g;%;g;

20250324 50E15 DN 570 DF1;3/24/2025 12:56:10 PM;0.000919444444444444;200;200;1;20;-0.0145;0;0;-1;0;10;0;0;0;0;2;0;0;0;-0.164;-0.1775;0;-0.176;1.9165;0;0;0;22.425;0.00900000000000012;-0.299996;146.9;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:56:15 PM;0.00231388888888889;200;200;1;20;-0.0145;0;0;-1;0;10;0;0;1;0;2;0;0;0;-0.164;-0.1775;0;-0.176;1.9165;0;0;0;22.44;0.00900000000000012;-0.299996;146.9;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:56:20 PM;0.00370555555555556;200;200;1;20;1.371;0;0;-1;0;10;10;10;1;100;2;100;100;0;-0.1575;-0.1755;0;1.0465;1.9165;0;0;0;22.425;0.707;-0.224997;145.1;100;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:56:25 PM;0.00509444444444444;200;200;1;20;1.823;0;0;-1;0;10;10;10;1;0;2;0;0;0;-0.108;-0.1755;0;1.3985;1.9165;0;0;0;22.41;0.9845;0.299996;150.5;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:56:30 PM;0.00648611111111111;200;200;1;20;0.335;0;0;-1;0;10;0;0;0;0;0;0;0;0;2.3465;-0.1745;0;2.5975;1.9165;0;0;0;22.395;3.1385;1.49998;155.6;0;146.7;0
20250324 50E15 DN 570 DF1;3/24/2025 12:56:35 PM;0.00787777777777778;200;200;1;20;0.223;0;0;-1;0;10;0;0;0;0;2;0;0;0;0.5055;-0.176;0;0.6815;1.9165;0;0;0;22.38;0.9775;2.024973;156;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:56:40 PM;0.00926944444444444;200;200;1;20;0.3125;0;0;-1;0;10;10;10;1;0;2;0;0;0;0.5295;-0.1755;0;0.8125;1.9165;0;0;0;22.365;0.933;2.399968;156.4;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:56:45 PM;0.0106611111111111;200;200;1;20;1.601;0;0;-1;0;10;10;10;1;0;2;0;0;0;0.6105;-0.175;0;1.978;1.9165;0;0;0;22.38;1.8295;3.224957;154.4;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:56:50 PM;0.0120527777777778;200;200;1;20;0.7175;0;0;-1;0;10;0;0;0;0;0;0;0;0;1.983;-0.175;0;2.5645;1.9165;0;0;0;22.365;2.869;4.199944;153.2;0;146.7;0
20250324 50E15 DN 570 DF1;3/24/2025 12:56:55 PM;0.0134444444444444;200;200;1;20;0.251;0;0;-1;0;10;0;0;0;0;0;0;0;0;0.513;-0.176;0;0.7195;1.9165;0;0;0;22.32;1.012;5.024933;153.4;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:57:00 PM;0.0148388888888889;200;200;1;20;0.251;0;0;-1;0;10;0;0;0;0;0;0;0;0;0.513;-0.176;0;0.7195;1.9165;0;0;0;22.32;1.012;5.024933;153.4;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:57:05 PM;0.0162305555555556;200;200;1;20;0.325;0;0;-1;8.29;10;10;10;1;0;2;0;0;0;0.3415;-0.1765;0;0.634;1.9165;0;0;0;22.32;0.733;5.174931;153.5;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:57:10 PM;0.0176222222222222;200;200;1;20;1.18;0;0;-1;8.29;10;10;10;1;0;2;0;0;0;1.3465;-0.174;0;2.351;1.9165;0;0;0;22.305;2.448;5.99992;151.4;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:57:15 PM;0.0190138888888889;200;200;1;20;1.3565;0;0;-1;8.29;10;10;10;1;0;2;0;0;0;0.598;-0.174;0;1.7295;1.9165;0;0;0;22.29;1.608;6.899908;151;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:57:20 PM;0.0204055555555556;200;200;1;20;1.1825;0;0;-1;8.29;10;10;10;1;0;2;0;0;0;0.552;-0.1755;0;1.5465;1.9165;0;0;0;22.29;1.463;8.024893;150;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:57:25 PM;0.0217972222222222;200;200;1;20;1.2945;0;0;-1;8.29;10;10;10;1;0;2;0;0;0;0.6615;-0.174;0;1.7455;1.9165;0;0;0;22.29;1.625;8.774883;149.3;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:57:30 PM;0.0231916666666667;200;200;1;20;1.0295;0;0;-1;8.29;10;10;10;1;0;2;0;0;0;1.262;-0.1735;0;2.133;1.9165;0;0;0;22.26;2.219;9.674871;148.1;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:57:35 PM;0.0245805555555556;200;200;1;20;1.0955;0;0;-1;8.29;10;10;10;1;0;2;0;0;0;1.2825;-0.1765;0;2.2025;1.9165;0;0;0;22.26;2.2985;10.799856;146.9;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:57:40 PM;0.025975;200;200;1;20;1.182;0;0;-1;8.29;10;10;10;1;30;2;30;30;0;1.2455;-0.1735;0;2.2225;1.9165;0;0;0;22.26;2.3035;11.699844;146.1;60;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:57:45 PM;0.0273638888888889;200;200;1;20;1.125;0;0;-1;10.57;10;10;10;1;0;2;0;0;0;1.191;-0.176;0;2.117;1.9165;0;0;0;22.23;2.2;12.374835;149.5;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:57:50 PM;0.0287583333333333;200;200;1;20;1.343;0;0;-1;10.57;10;10;10;1;0;2;0;0;0;1.095;-0.1715;0;2.2405;1.9165;0;0;0;22.245;2.192;13.199824;152.3;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:57:55 PM;0.0301472222222222;200;200;1;20;1.1705;0;0;-1;10.57;10;10;10;1;0;2;0;0;0;0.9115;-0.1755;0;1.8715;1.9165;0;0;0;22.23;1.8965;14.174811;151.4;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:58:00 PM;0.0315388888888889;200;200;1;20;1.3245;0;0;-1;10.57;10;10;10;1;0;2;0;0;0;0.8605;-0.174;0;1.9465;1.9165;0;0;0;22.23;1.9025;14.774803;150.6;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:58:05 PM;0.0329305555555556;200;200;1;20;1.08;0;0;-1;9.71;10;10;10;1;0;2;0;0;0;0.872;-0.1755;0;1.7875;1.9165;0;0;0;22.215;1.7915;15.824789;149.7;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:58:10 PM;0.0343194444444444;200;200;1;20;1.144;0;0;-1;9.71;10;10;10;1;0;2;0;0;0;0.8845;-0.1765;0;1.8415;1.9165;0;0;0;22.2;1.8495;16.874775;148.9;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:58:15 PM;0.0357111111111111;200;200;1;20;1.473;0;0;-1;9.71;10;10;10;1;0;2;0;0;0;0.453;-0.1735;0;1.6825;1.9165;0;0;0;22.2;1.4975;17.699764;148.2;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:58:20 PM;0.0371027777777778;200;200;1;20;1.2605;0;0;-1;9.71;12;12;12;1;0;2;0;0;0;0.3855;-0.176;0;1.445;1.9165;0;0;0;22.17;1.3065;18.224757;147.6;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:58:25 PM;0.0384944444444444;200;200;1;20;1.5625;0;0;-1;9.71;12;12;12;1;0;2;0;0;0;0.544;-0.1755;0;1.8425;1.9165;0;0;0;22.155;1.643;19.199744;146.6;10;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:58:30 PM;0.0398833333333333;200;200;1;20;1.5625;0;0;-1;9.71;12;12;12;1;0;2;0;0;0;0.544;-0.1755;0;1.8425;1.9165;0;0;0;22.155;1.643;19.199744;146.6;10;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:58:35 PM;0.041275;200;200;1;20;1.5325;0;0;-1;9.71;12;12;12;1;40;2;40;40;0;0.581;-0.1755;0;1.846;1.9165;0;0;0;22.155;1.6705;20.099732;146.2;50;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:58:40 PM;0.0426666666666667;200;200;1;20;1.6115;0;0;-1;9.71;16;16;16;1;0;2;0;0;0;0.572;-0.175;0;1.933;1.9165;0;0;0;22.14;1.701;20.99972;151.3;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:58:45 PM;0.0440583333333333;200;200;1;20;2.129;0;0;-1;9.71;16;16;16;1;0;2;0;0;0;0.795;-0.174;0;2.59;1.9165;0;0;0;22.125;2.2305;22.199704;149.8;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:58:50 PM;0.04545;200;200;1;20;2.409;0;0;-1;10.57;16;16;16;1;0;2;0;0;0;0.2545;-0.175;0;2.2635;1.9165;0;0;0;22.125;1.726;23.099692;149;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:58:55 PM;0.0468416666666667;200;200;1;20;2.3925;0;0;-1;10.57;16;16;16;1;0;2;0;0;0;0.275;-0.1755;0;2.279;1.9165;0;0;0;22.11;1.734;23.924681;148.3;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:59:00 PM;0.0482361111111111;200;200;1;20;2.4765;0;0;-1;10.57;16;16;16;1;0;2;0;0;0;0.331;-0.175;0;2.389;1.9165;0;0;0;22.11;1.8455;24.974667;147.1;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:59:05 PM;0.049625;200;200;1;20;2.441;0;0;-1;10.57;16;16;16;1;20;2;20;20;0;0.3935;-0.175;0;2.418;1.9165;0;0;0;22.08;1.8975;26.024653;146.1;60;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:59:10 PM;0.0510166666666667;200;200;1;20;2.413;0;0;-1;10.86;16;16;16;1;0;2;0;0;0;0.4515;-0.175;0;2.4535;1.9165;0;0;0;22.065;1.957;26.99964;148.5;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:59:15 PM;0.0524083333333333;200;200;1;20;2.474;0;0;-1;10.86;16;16;16;1;0;2;0;0;0;0.4705;-0.1745;0;2.51;1.9165;0;0;0;22.05;2.012;27.899628;153.3;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:59:20 PM;0.0538;200;200;1;20;2.249;0;0;-1;10.86;16;16;16;1;0;2;0;0;0;0.467;-0.175;0;2.3515;1.9165;0;0;0;22.035;1.8925;29.324609;152.1;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:59:25 PM;0.0551944444444444;200;200;1;20;2.3785;0;0;-1;10.86;16;16;16;1;0;2;0;0;0;0.4855;-0.174;0;2.4725;1.9165;0;0;0;22.02;1.9775;30.074599;151.2;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:59:30 PM;0.0565833333333333;200;200;1;20;2.374;0;0;-1;11.71;16;16;16;1;0;2;0;0;0;0.478;-0.1745;0;2.4715;1.9165;0;0;0;21.99;1.9675;31.124585;150.2;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:59:35 PM;0.057975;200;200;1;20;2.344;0;0;-1;11.71;16;16;16;1;0;2;0;0;0;0.4755;-0.1745;0;2.4355;1.9165;0;0;0;21.975;1.948;32.174571;149.1;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:59:40 PM;0.0593638888888889;200;200;1;20;2.3845;0;0;-1;11.71;16;16;16;1;0;2;0;0;0;0.481;-0.1745;0;2.483;1.9165;0;0;0;21.96;1.9795;33.299556;148.2;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:59:45 PM;0.0607583333333333;200;200;1;20;2.3375;0;0;-1;11.71;16;16;16;1;0;2;0;0;0;0.479;-0.175;0;2.4295;1.9165;0;0;0;21.975;1.953;34.199544;147.3;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:59:50 PM;0.0621472222222222;200;200;1;20;2.4235;0;0;-1;11.71;16;16;16;1;50;2;50;30;0;0.479;-0.174;0;2.4945;1.9165;0;0;0;21.975;1.995;35.399528;146;70;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 12:59:55 PM;0.0635388888888889;200;200;1;20;2.4235;0;0;-1;11.71;16;16;16;1;50;2;50;30;0;0.479;-0.174;0;2.4945;1.9165;0;0;0;21.975;1.995;35.399528;146;70;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:00:00 PM;0.0649305555555555;200;200;1;20;2.36;0;0;-1;11.71;16;16;16;1;0;2;0;0;0;0.473;-0.1745;0;2.4445;1.9165;0;0;0;21.975;1.9585;36.524513;151.6;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:00:05 PM;0.0663222222222222;200;200;1;20;2.529;0;0;-1;11.71;16;16;16;1;0;2;0;0;0;0.4715;-0.175;0;2.573;1.9165;0;0;0;21.96;2.0425;37.574499;153.7;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:00:10 PM;0.0677138888888889;200;200;1;20;2.486;0;0;-1;11.71;16;16;16;1;0;2;0;0;0;0.4795;-0.175;0;2.525;1.9165;0;0;0;21.96;2.0285;38.624485;152.5;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:00:15 PM;0.0691055555555556;200;200;1;20;2.5125;0;0;-1;12;16;16;16;1;0;2;0;0;0;0.4795;-0.1745;0;2.54;1.9165;0;0;0;21.93;2.038;39.599472;151.6;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:00:20 PM;0.0705;200;200;1;20;2.4325;0;0;-1;12;16;16;16;1;0;2;0;0;0;0.4775;-0.1745;0;2.49;1.9165;0;0;0;21.93;1.996;40.574459;150.6;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:00:25 PM;0.0718944444444444;200;200;1;20;2.463;0;0;-1;12;16;16;16;1;0;2;0;0;0;0.4895;-0.174;0;2.5665;1.9165;0;0;0;21.915;2.027;41.474447;149.7;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:00:30 PM;0.0732861111111111;200;200;1;20;2.4465;0;0;-1;12;16;16;16;1;0;2;0;0;0;0.4835;-0.1745;0;2.5375;1.9165;0;0;0;21.93;2.011;42.674431;148.5;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:00:35 PM;0.0746805555555556;200;200;1;20;2.514;0;0;-1;11.71;16;16;16;1;0;2;0;0;0;0.4755;-0.175;0;2.561;1.9165;0;0;0;21.945;2.0415;43.724417;147.5;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:00:40 PM;0.0760722222222222;200;200;1;20;2.329;0;0;-1;11.71;16;16;16;1;0;2;0;0;0;0.4665;-0.176;0;2.4085;1.9165;0;0;0;21.93;1.9395;44.699404;146.6;10;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:00:45 PM;0.0774638888888889;200;200;1;20;2.5235;0;0;-1;11.71;16;16;16;1;40;2;40;40;0;0.4805;-0.175;0;2.575;1.9165;0;0;0;21.93;2.0495;45.899388;146.9;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:00:50 PM;0.0788555555555556;200;200;1;20;2.41;0;0;-1;11.71;16;16;16;1;0;2;0;0;0;0.4755;-0.1745;0;2.49;1.9165;0;0;0;21.915;1.9865;46.799376;153;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:00:55 PM;0.08025;200;200;1;20;2.423;0;0;-1;11.71;16;16;16;1;0;2;0;0;0;0.4745;-0.175;0;2.48;1.9165;0;0;0;21.93;1.9905;47.924361;152;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:01:00 PM;0.0816416666666667;200;200;1;20;2.4645;0;0;-1;11.71;16;16;16;1;0;2;0;0;0;0.48;-0.175;0;2.5125;1.9165;0;0;0;21.915;2.0185;48.974347;150.8;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:01:05 PM;0.0830333333333333;200;200;1;20;2.341;0;0;-1;11.71;16;16;16;1;0;2;0;0;0;0.4805;-0.1745;0;2.4035;1.9165;0;0;0;21.93;1.9545;49.874335;149.9;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:01:10 PM;0.084425;200;200;1;20;2.368;0;0;-1;11.71;16;16;16;1;0;2;0;0;0;0.4775;-0.1745;0;2.438;1.9165;0;0;0;21.93;1.9635;50.99932;149;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:01:15 PM;0.0858166666666667;200;200;1;20;2.3675;0;0;-1;12;16;16;16;1;0;2;0;0;0;0.49;-0.174;0;2.4855;1.9165;0;0;0;21.93;1.9775;52.124305;147.8;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:01:20 PM;0.0872083333333333;200;200;1;20;2.4725;0;0;-1;12;16;16;16;1;0;2;0;0;0;0.4875;-0.1745;0;2.5685;1.9165;0;0;0;21.93;2.0325;53.174291;146.8;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:01:25 PM;0.0886;200;200;1;20;2.4725;0;0;-1;12;16;16;16;1;0;2;0;0;0;0.4875;-0.1745;0;2.5685;1.9165;0;0;0;21.93;2.0325;53.174291;146.8;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:01:30 PM;0.0899944444444444;200;200;1;20;2.439;0;0;-1;12;16;16;16;1;70;2;70;70;0;0.4785;-0.175;0;2.5265;1.9165;0;0;0;21.945;2.0045;54.074279;145.4;100;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:01:35 PM;0.0913861111111111;200;200;1;20;2.4395;0;0;-1;12;16;16;16;1;0;2;0;0;0;0.4815;-0.175;0;2.5145;1.9165;0;0;0;21.93;2.0105;55.274263;154.5;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:01:40 PM;0.0927777777777778;200;200;1;20;2.519;0;0;-1;12;16;16;16;1;0;2;0;0;0;0.4825;-0.1755;0;2.588;1.9165;0;0;0;21.93;2.0505;56.399248;153.6;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:01:45 PM;0.0941694444444444;200;200;1;20;2.45;0;0;-1;12;16;16;16;1;0;2;0;0;0;0.49;-0.1745;0;2.5235;1.9165;0;0;0;21.915;2.024;57.074239;152.7;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:01:50 PM;0.0955611111111111;200;200;1;20;2.4345;0;0;-1;12;16;16;16;1;0;2;0;0;0;0.493;-0.174;0;2.513;1.9165;0;0;0;21.945;2.0175;58.274223;151.7;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:01:55 PM;0.0969527777777778;200;200;1;20;2.359;0;0;-1;11.71;16;16;16;1;0;2;0;0;0;0.477;-0.1745;0;2.4205;1.9165;0;0;0;21.945;1.958;59.474207;150.5;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:02:00 PM;0.0983444444444444;200;200;1;20;2.629;0;0;-1;11.71;16;16;16;1;0;2;0;0;0;0.477;-0.1755;0;2.642;1.9165;0;0;0;21.945;2.0985;60.374195;149.6;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:02:05 PM;0.0997361111111111;200;200;1;20;2.446;0;0;-1;11.71;16;16;16;1;0;2;0;0;0;0.4845;-0.1745;0;2.5005;1.9165;0;0;0;21.945;2.011;61.424181;148.6;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:02:10 PM;0.101127777777778;200;200;1;20;2.462;0;0;-1;11.71;16;16;16;1;0;2;0;0;0;0.4915;-0.1745;0;2.5315;1.9165;0;0;0;21.945;2.029;62.699164;147.4;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:02:15 PM;0.102516666666667;200;200;1;20;2.398;0;0;-1;11.71;16;16;16;1;0;2;0;0;0;0.495;-0.1745;0;2.5075;1.9165;0;0;0;21.945;2;63.599152;146.4;30;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:02:21 PM;0.103911111111111;200;200;1;20;2.4235;0;0;-1;11.71;16;16;16;1;100;2;100;100;0;0.491;-0.175;0;2.5235;1.9165;0;0;0;21.975;2.009;64.574139;146.5;20;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:02:26 PM;0.105302777777778;200;200;1;20;2.47;0;0;-1;11.71;16;16;16;1;0;2;0;0;0;0.4855;-0.1745;0;2.544;1.9165;0;0;0;21.96;2.0285;65.924121;154.4;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:02:31 PM;0.106694444444444;200;200;1;20;2.404;0;0;-1;11.71;16;16;16;1;0;2;0;0;0;0.49;-0.1745;0;2.5175;1.9165;0;0;0;21.975;1.998;66.899108;153.5;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:02:36 PM;0.108086111111111;200;200;1;20;2.476;0;0;-1;12;16;16;16;1;0;2;0;0;0;0.493;-0.174;0;2.5725;1.9165;0;0;0;21.945;2.0405;67.799096;152.6;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:02:41 PM;0.109477777777778;200;200;1;20;2.4595;0;0;-1;12;16;16;16;1;0;2;0;0;0;0.4865;-0.175;0;2.5455;1.9165;0;0;0;21.96;2.025;68.774083;151.7;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:02:46 PM;0.110866666666667;200;200;1;20;2.5025;0;0;-1;12;16;16;16;1;0;2;0;0;0;0.4815;-0.175;0;2.5415;1.9165;0;0;0;21.975;2.042;69.899068;150.5;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:02:51 PM;0.112258333333333;200;200;1;20;2.4695;0;0;-1;12;16;16;16;1;0;2;0;0;0;0.485;-0.1745;0;2.535;1.9165;0;0;0;21.975;2.0275;71.024053;149.4;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:02:56 PM;0.11365;200;200;1;20;2.4695;0;0;-1;12;16;16;16;1;0;2;0;0;0;0.485;-0.1745;0;2.535;1.9165;0;0;0;21.975;2.0275;71.024053;149.4;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:03:01 PM;0.115038888888889;200;200;1;20;2.383;0;0;-1;12;16;16;16;1;0;2;0;0;0;0.483;-0.1745;0;2.4645;1.9165;0;0;0;21.975;1.983;71.99904;148.5;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:03:06 PM;0.116430555555556;200;200;1;20;2.532;0;0;-1;12;16;16;16;1;0;2;0;0;0;0.499;-0.1745;0;2.6165;1.9165;0;0;0;21.975;2.073;73.199024;147.4;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:03:11 PM;0.117819444444444;200;200;1;20;2.3965;0;0;-1;12;16;16;16;1;0;2;0;0;0;0.4965;-0.1745;0;2.4915;1.9165;0;0;0;21.975;2.0015;74.099012;146.4;30;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:03:16 PM;0.119211111111111;200;200;1;20;2.4795;0;0;-1;12;16;16;16;1;100;2;100;100;0;0.502;-0.1745;0;2.5815;1.9165;0;0;0;21.975;2.049;75.073999;146.6;10;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:03:21 PM;0.120602777777778;200;200;1;20;2.438;0;0;-1;12;16;16;16;1;0;2;0;0;0;0.5085;-0.174;0;2.554;1.9165;0;0;0;21.975;2.0375;76.423981;153.8;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:03:26 PM;0.121994444444444;200;200;1;20;2.441;0;0;-1;12;16;16;16;1;0;2;0;0;0;0.509;-0.1745;0;2.558;1.9165;0;0;0;21.99;2.0415;77.398968;153;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:03:31 PM;0.123388888888889;200;200;1;20;2.4755;0;0;-1;12;16;16;16;1;0;2;0;0;0;0.51;-0.1745;0;2.5775;1.9165;0;0;0;22.005;2.058;78.298956;152;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:03:36 PM;0.124780555555556;200;200;1;20;2.479;0;0;-1;12;16;16;16;1;0;2;0;0;0;0.4965;-0.175;0;2.568;1.9165;0;0;0;22.035;2.047;79.573939;150.8;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:03:41 PM;0.126172222222222;200;200;1;20;2.521;0;0;-1;11.71;16;16;16;1;0;2;0;0;0;0.495;-0.175;0;2.5855;1.9165;0;0;0;22.035;2.065;80.623925;149.8;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:03:46 PM;0.127563888888889;200;200;1;20;2.5185;0;0;-1;11.71;16;16;16;1;0;2;0;0;0;0.491;-0.175;0;2.5645;1.9165;0;0;0;22.02;2.0605;81.598912;148.8;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:03:51 PM;0.128952777777778;200;200;1;20;2.532;0;0;-1;11.71;16;16;16;1;0;2;0;0;0;0.501;-0.1745;0;2.591;1.9165;0;0;0;22.02;2.0785;82.723897;147.6;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:03:56 PM;0.130347222222222;200;200;1;20;2.38;0;0;-1;11.71;16;16;16;1;0;2;0;0;0;0.4975;-0.1745;0;2.4675;1.9165;0;0;0;22.035;1.994;83.773883;146.7;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:04:01 PM;0.131741666666667;200;200;1;20;2.485;0;0;-1;12.29;16;16;16;1;80;2;80;80;0;0.4955;-0.1745;0;2.565;1.9165;0;0;0;22.05;2.047;84.898868;146.3;40;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:04:06 PM;0.133133333333333;200;200;1;20;2.4925;0;0;-1;12.29;16;16;16;1;0;2;0;0;0;0.516;-0.174;0;2.6095;1.9165;0;0;0;22.05;2.075;86.098852;152.1;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:04:11 PM;0.134522222222222;200;200;1;20;2.4415;0;0;-1;12.29;16;16;16;1;0;2;0;0;0;0.497;-0.175;0;2.545;1.9165;0;0;0;22.065;2.026;86.99884;151.3;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:04:16 PM;0.135911111111111;200;200;1;20;2.39;0;0;-1;12.29;16;16;16;1;0;2;0;0;0;0.506;-0.175;0;2.508;1.9165;0;0;0;22.08;2.0145;87.973827;150.3;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:04:21 PM;0.137302777777778;200;200;1;20;2.556;0;0;-1;12;16;16;16;1;0;2;0;0;0;0.496;-0.175;0;2.6445;1.9165;0;0;0;22.08;2.0855;87.973827;150.3;0;146.7;1
20250324 50E15 DN 570 DF1;3/24/2025 1:04:26 PM;0.138691666666667;200;200;1;20;2.556;0;0;-1;12;16;16;16;1;0;2;0;0;0;0.496;-0.1755;0;2.6445;1.9165;0;0;0;22.08;2.0855;88.873815;149.3;0;146.7;1
